EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
7.204,1.969,2.604,2.297,-1.068,-3.189,-4.766,-1.161,-0.088,1.013,0.098,1.404,-0.702,0.000,60.000,18497.000,1.000
9.212,4.377,6.563,5.029,1.621,0.408,-1.213,0.572,-0.087,1.018,0.101,1.251,-0.641,0.000,60.000,18498.000,1.000
10.056,5.024,8.186,6.524,2.532,1.452,-0.789,0.851,-0.087,1.020,0.100,1.099,-0.610,0.031,60.000,18499.000,1.000
9.059,4.061,7.047,6.163,1.910,0.593,-2.840,-0.016,-0.088,1.021,0.101,0.946,-0.580,0.183,60.000,18500.000,1.000
6.816,2.586,4.785,4.682,0.973,-0.528,-5.024,-1.101,-0.089,1.023,0.104,0.702,-0.610,0.122,60.000,18501.000,1.000
4.164,1.299,3.130,3.251,0.605,-0.642,-5.459,-1.556,-0.090,1.026,0.104,0.458,-0.763,0.061,60.000,18502.000,1.000
1.519,0.095,2.321,2.329,0.728,0.493,-3.949,-1.111,-0.089,1.028,0.104,0.183,-0.885,0.061,60.000,18503.000,1.000
-0.586,-0.989,1.775,1.684,0.898,2.319,-1.478,-0.051,-0.088,1.028,0.102,-0.061,-0.946,0.092,60.000,18504.000,1.000
-1.210,-1.330,1.532,1.217,0.989,3.802,0.700,1.053,-0.086,1.029,0.103,-0.305,-0.854,0.061,60.000,18505.000,1.000
0.121,-0.552,2.303,1.303,1.187,3.970,1.647,1.697,-0.086,1.028,0.105,-0.488,-0.885,0.214,60.000,18506.000,1.000
2.649,0.889,4.381,2.389,1.784,2.980,1.371,1.931,-0.084,1.025,0.104,-0.824,-0.824,0.214,60.000,18507.000,1.000
4.898,2.223,7.036,4.359,3.013,2.259,0.887,2.387,-0.082,1.025,0.106,-0.916,-0.916,0.275,60.000,18508.000,1.000
5.860,3.251,9.181,6.349,4.796,3.012,1.191,3.483,-0.082,1.022,0.106,-0.977,-0.763,0.488,60.000,18509.000,1.000
5.755,4.697,10.581,7.467,6.814,5.036,2.425,4.920,-0.084,1.020,0.103,-1.099,-0.671,0.458,60.000,18510.000,1.000
5.697,7.540,12.096,7.745,8.835,7.141,4.077,6.157,-0.083,1.017,0.105,-1.129,-0.763,0.549,60.000,18511.000,1.000
6.532,11.755,14.475,8.016,10.723,8.273,5.517,7.052,-0.083,1.010,0.108,-1.160,-0.702,0.549,60.000,18512.000,1.000
8.146,15.882,17.282,8.941,12.291,8.271,6.402,7.893,-0.083,1.009,0.108,-0.977,-0.702,0.671,60.000,18513.000,1.000
9.815,18.062,19.305,10.380,13.367,7.822,6.845,8.954,-0.084,1.006,0.109,-0.885,-0.671,0.641,60.000,18514.000,1.000
10.969,17.599,19.848,11.639,13.926,7.808,7.268,10.079,-0.087,1.004,0.105,-0.702,-0.732,0.641,60.000,18515.000,1.000
11.529,15.355,19.253,12.110,14.006,8.594,7.995,10.767,-0.086,1.000,0.103,-0.610,-0.641,0.641,60.000,18516.000,1.000
11.489,12.518,18.032,11.453,13.410,9.642,8.790,10.565,-0.087,0.999,0.106,-0.458,-0.488,0.641,60.000,18517.000,1.000
10.402,9.479,15.968,9.411,11.713,9.871,8.884,9.329,-0.087,0.999,0.107,-0.305,-0.580,0.610,60.000,18518.000,1.000
7.784,6.244,12.690,5.996,8.909,8.667,7.790,7.370,-0.087,0.999,0.107,0.000,-0.549,0.641,60.000,18519.000,1.000
4.008,3.192,8.809,1.942,5.795,6.394,5.954,5.379,-0.087,0.998,0.107,0.275,-0.519,0.549,60.000,18520.000,1.000
0.275,0.852,5.721,-1.476,3.393,3.923,4.311,3.943,-0.089,0.998,0.106,0.427,-0.519,0.397,60.000,18521.000,1.000
-2.383,-0.671,4.239,-3.298,2.141,1.961,3.364,3.145,-0.088,0.998,0.107,0.488,-0.732,0.366,60.000,18522.000,1.000
-3.777,-1.693,3.859,-3.455,1.779,0.883,2.873,2.763,-0.088,0.999,0.107,0.580,-0.702,0.244,60.000,18523.000,1.000
-4.195,-2.315,3.603,-2.481,1.913,0.897,2.433,2.705,-0.088,1.003,0.108,0.702,-0.641,0.183,60.000,18524.000,1.000
