EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-17.992,-10.940,-10.426,-17.701,-12.481,-10.147,-9.665,-11.491,-0.075,0.985,-0.226,0.580,-0.275,0.763,60.000,19961.000,1.000
-16.911,-9.545,-8.712,-16.718,-11.324,-9.896,-10.370,-10.806,-0.076,0.986,-0.226,0.488,-0.305,0.641,60.000,19962.000,1.000
-14.796,-7.029,-4.994,-13.946,-9.292,-9.334,-9.751,-9.636,-0.077,0.986,-0.226,0.580,-0.336,0.763,60.000,19963.000,1.000
-13.240,-5.412,-1.918,-11.641,-7.735,-9.316,-9.315,-8.651,-0.079,0.985,-0.224,0.549,-0.275,0.641,60.000,19964.000,1.000
-13.429,-6.081,-1.860,-11.488,-7.452,-9.768,-9.873,-8.063,-0.077,0.984,-0.225,0.488,-0.214,0.549,60.000,19965.000,1.000
-14.587,-8.055,-3.998,-12.543,-7.881,-9.949,-10.371,-7.582,-0.078,0.983,-0.224,0.366,-0.214,0.488,60.000,19966.000,1.000
-15.059,-9.280,-5.593,-12.737,-8.050,-9.553,-9.351,-6.998,-0.079,0.984,-0.227,0.214,-0.092,0.397,60.000,19967.000,1.000
-14.543,-9.224,-5.701,-11.845,-7.958,-9.087,-7.065,-6.582,-0.078,0.983,-0.226,0.214,-0.153,0.244,60.000,19968.000,1.000
-14.310,-9.256,-6.155,-11.728,-8.440,-9.129,-5.345,-6.727,-0.075,0.982,-0.226,0.275,-0.244,0.214,60.000,19969.000,1.000
-15.226,-10.483,-8.565,-13.572,-9.808,-9.604,-5.492,-7.409,-0.074,0.980,-0.227,0.275,-0.122,0.122,60.000,19970.000,1.000
-16.404,-12.102,-11.644,-15.988,-11.212,-9.992,-6.949,-8.243,-0.074,0.978,-0.230,0.336,-0.092,0.214,60.000,19971.000,1.000
-16.319,-12.477,-12.596,-16.616,-11.603,-10.045,-8.274,-8.924,-0.073,0.980,-0.229,0.336,0.000,0.122,60.000,19972.000,1.000
-14.892,-11.381,-10.710,-15.073,-10.988,-10.031,-8.953,-9.454,-0.075,0.981,-0.231,0.366,0.183,0.244,60.000,19973.000,1.000
-13.623,-10.280,-8.218,-13.277,-10.324,-10.269,-9.710,-9.911,-0.078,0.983,-0.229,0.580,0.244,0.244,60.000,19974.000,1.000
-13.463,-10.248,-7.202,-12.742,-10.187,-10.638,-10.981,-10.093,-0.079,0.984,-0.229,0.610,0.214,0.244,60.000,19975.000,1.000
-13.326,-10.352,-6.788,-12.544,-9.979,-10.607,-11.728,-9.556,-0.081,0.984,-0.227,0.671,0.061,0.214,60.000,19976.000,1.000
-11.476,-8.822,-4.528,-10.719,-8.699,-9.697,-10.463,-8.080,-0.080,0.985,-0.226,0.641,0.214,0.275,60.000,19977.000,1.000
-8.101,-5.586,-0.162,-7.238,-6.352,-7.983,-7.307,-6.052,-0.081,0.981,-0.225,0.641,0.153,0.305,60.000,19978.000,1.000
-5.600,-2.782,3.381,-4.503,-4.194,-6.122,-4.232,-4.281,-0.079,0.978,-0.224,0.458,0.092,0.397,60.000,19979.000,1.000
-6.031,-2.434,3.266,-4.545,-3.415,-4.853,-2.938,-3.348,-0.081,0.976,-0.227,0.580,0.061,0.488,60.000,19980.000,1.000
-8.956,-4.235,0.132,-6.559,-3.873,-4.449,-3.037,-3.154,-0.084,0.976,-0.226,0.763,-0.031,0.488,60.000,19981.000,1.000
-12.252,-6.182,-2.818,-8.053,-4.464,-4.617,-2.821,-3.175,-0.087,0.979,-0.227,0.977,-0.061,0.488,60.000,19982.000,1.000
-14.559,-7.063,-3.756,-8.035,-4.595,-4.928,-1.573,-3.122,-0.087,0.982,-0.226,1.038,-0.305,0.488,60.000,19983.000,1.000
-16.224,-7.483,-3.973,-7.942,-4.742,-5.140,-0.332,-3.143,-0.088,0.986,-0.229,0.977,-0.336,0.488,60.000,19984.000,1.000
-17.812,-8.333,-5.322,-9.196,-5.441,-5.150,-0.266,-3.446,-0.090,0.986,-0.227,0.916,-0.488,0.397,60.000,19985.000,1.000
-18.684,-9.222,-7.260,-11.035,-6.406,-5.073,-1.184,-4.120,-0.088,0.990,-0.228,0.763,-0.610,0.305,60.000,19986.000,1.000
-17.773,-9.064,-7.657,-11.595,-6.987,-5.306,-2.113,-5.201,-0.085,0.990,-0.229,0.824,-0.702,0.336,60.000,19987.000,1.000
-15.352,-7.796,-6.038,-10.539,-7.101,-6.035,-2.741,-6.572,-0.084,0.990,-0.231,0.641,-0.854,0.275,60.000,19988.000,1.000
-13.248,-6.820,-4.693,-9.680,-7.406,-6.920,-3.716,-7.926,-0.083,0.988,-0.231,0.580,-0.946,0.366,60.000,19989.000,1.000
-13.062,-7.525,-6.018,-10.762,-8.574,-7.634,-5.581,-9.031,-0.082,0.989,-0.230,0.549,-0.977,0.366,60.000,19990.000,1.000
-14.522,-9.669,-9.495,-13.310,-10.539,-8.447,-7.930,-9.928,-0.081,0.991,-0.230,0.458,-1.007,0.458,60.000,19991.000,1.000
-15.998,-11.760,-12.348,-15.352,-12.605,-9.963,-9.913,-10.809,-0.079,0.988,-0.230,0.397,-0.916,0.488,60.000,19992.000,1.000
-16.512,-12.947,-13.032,-15.984,-14.223,-12.334,-11.353,-11.752,-0.075,0.986,-0.227,0.244,-0.854,0.580,60.000,19993.000,1.000
-16.609,-13.799,-12.846,-16.243,-15.331,-14.797,-12.778,-12.543,-0.077,0.984,-0.227,0.305,-0.824,0.641,60.000,19994.000,1.000
-16.997,-14.860,-13.507,-17.111,-15.778,-15.946,-14.121,-12.657,-0.078,0.984,-0.230,0.275,-0.824,0.732,60.000,19995.000,1.000
-17.044,-15.172,-14.246,-17.643,-14.908,-14.696,-14.040,-11.562,-0.079,0.984,-0.229,0.183,-0.793,0.671,60.000,19996.000,1.000
-15.549,-13.252,-12.797,-16.179,-12.351,-11.311,-11.404,-9.377,-0.078,0.983,-0.229,0.275,-0.641,0.702,60.000,19997.000,1.000
-12.724,-9.373,-8.931,-13.002,-9.040,-7.404,-7.261,-7.108,-0.078,0.982,-0.228,0.366,-0.732,0.763,60.000,19998.000,1.000
-10.387,-5.800,-5.386,-10.470,-6.711,-4.698,-4.294,-5.867,-0.079,0.980,-0.228,0.427,-0.702,0.763,60.000,19999.000,1.000
-9.885,-4.362,-4.643,-10.127,-6.212,-3.759,-4.064,-5.844,-0.079,0.980,-0.229,0.336,-0.641,0.763,60.000,20000.000,1.000
-10.556,-4.521,-5.930,-10.712,-6.745,-3.923,-5.441,-6.293,-0.082,0.979,-0.226,0.458,-0.763,0.763,60.000,20001.000,1.000
-10.762,-4.412,-6.452,-9.820,-6.962,-4.282,-6.171,-6.426,-0.081,0.979,-0.226,0.549,-0.702,0.824,60.000,20002.000,1.000
-10.033,-3.291,-5.067,-6.994,-6.421,-4.392,-5.410,-5.997,-0.081,0.979,-0.226,0.641,-0.671,0.824,60.000,20003.000,1.000
-9.449,-2.171,-3.472,-4.151,-5.687,-4.163,-4.182,-5.114,-0.079,0.980,-0.225,0.671,-0.641,0.763,60.000,20004.000,1.000
-9.871,-2.102,-3.543,-2.956,-5.242,-3.570,-3.615,-3.878,-0.078,0.979,-0.227,0.854,-0.549,0.732,60.000,20005.000,1.000
-10.487,-2.495,-4.578,-2.687,-4.762,-2.619,-3.389,-2.351,-0.081,0.977,-0.228,0.916,-0.488,0.641,60.000,20006.000,1.000
-9.692,-1.760,-4.173,-1.378,-3.568,-1.371,-2.277,-0.657,-0.079,0.978,-0.226,1.007,-0.458,0.641,60.000,20007.000,1.000
-7.185,0.567,-1.542,1.383,-1.595,0.039,0.040,1.025,-0.078,0.979,-0.227,1.007,-0.458,0.549,60.000,20008.000,1.000
-4.498,3.049,1.273,3.787,0.391,1.407,2.356,2.510,-0.078,0.979,-0.227,1.282,-0.488,0.519,60.000,20009.000,1.000
-3.033,4.175,2.133,4.310,1.732,2.631,3.472,3.750,-0.078,0.979,-0.228,1.312,-0.427,0.549,60.000,20010.000,1.000
-2.168,4.417,1.852,3.991,2.801,3.881,3.809,4.944,-0.078,0.980,-0.229,1.343,-0.336,0.519,60.000,20011.000,1.000
-0.193,5.510,3.183,5.129,4.477,5.291,4.714,6.306,-0.079,0.980,-0.229,1.465,-0.305,0.488,60.000,20012.000,1.000
3.063,7.748,6.823,7.999,6.665,6.365,6.267,7.591,-0.077,0.982,-0.229,1.526,-0.275,0.610,60.000,20013.000,1.000
5.678,9.226,10.071,10.197,8.044,6.145,6.826,8.167,-0.078,0.982,-0.228,1.495,-0.244,0.580,60.000,20014.000,1.000
6.033,8.299,10.205,9.626,7.622,4.356,5.246,7.764,-0.078,0.982,-0.226,1.587,-0.183,0.580,60.000,20015.000,1.000
4.709,5.767,7.877,7.016,5.905,1.942,2.561,6.768,-0.077,0.982,-0.229,1.556,-0.153,0.519,60.000,20016.000,1.000
3.374,3.739,5.922,4.654,4.055,0.105,0.669,5.540,-0.077,0.983,-0.227,1.251,0.061,0.549,60.000,20017.000,1.000
2.527,2.914,5.475,3.276,2.399,-0.836,-0.074,3.840,-0.079,0.983,-0.228,1.282,-0.031,0.549,60.000,20018.000,1.000
1.179,1.950,4.721,1.395,0.322,-1.459,-1.132,1.268,-0.078,0.984,-0.231,1.221,-0.061,0.458,60.000,20019.000,1.000
-1.254,-0.314,1.851,-2.128,-2.396,-2.290,-3.580,-1.866,-0.080,0.983,-0.235,1.221,-0.061,0.488,60.000,20020.000,1.000
-3.484,-2.808,-1.847,-5.827,-4.648,-3.041,-6.296,-4.393,-0.079,0.984,-0.232,1.251,-0.031,0.427,60.000,20021.000,1.000
-3.535,-3.221,-3.164,-6.985,-4.876,-2.933,-7.025,-5.172,-0.080,0.984,-0.231,1.190,-0.031,0.336,60.000,20022.000,1.000
