EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.683,-3.631,-22.294,-11.194,-8.132,-3.160,-5.414,-5.744,-0.136,0.970,-0.256,1.740,-9.705,2.075,73.333,4641.000,1.000
-0.527,-1.669,-19.302,-10.603,-6.929,-3.531,-5.427,-4.355,-0.135,0.970,-0.255,1.587,-9.735,1.892,73.333,4642.000,1.000
2.363,1.950,-14.444,-8.203,-4.497,-3.274,-5.045,-3.016,-0.134,0.971,-0.256,1.526,-9.583,1.831,73.333,4643.000,1.000
5.119,5.545,-9.264,-4.727,-1.958,-3.299,-4.750,-1.914,-0.132,0.972,-0.257,1.465,-9.644,1.709,73.333,4644.000,1.000
7.039,8.152,-5.049,-0.943,0.101,-3.548,-4.322,-0.809,-0.131,0.971,-0.254,1.373,-9.521,1.465,73.333,4645.000,1.000
7.937,9.657,-2.380,2.547,1.633,-3.192,-3.315,0.437,-0.133,0.972,-0.256,1.221,-9.399,1.282,73.333,4646.000,1.000
8.092,10.218,-1.203,5.364,2.693,-1.874,-1.851,1.467,-0.131,0.972,-0.257,0.946,-9.369,1.190,73.333,4647.000,1.000
8.045,9.917,-1.100,7.414,3.200,-0.379,-0.652,1.777,-0.133,0.972,-0.255,0.732,-9.338,1.038,73.333,4648.000,1.000
8.255,8.789,-1.585,8.809,3.063,0.137,-0.337,1.315,-0.135,0.969,-0.255,0.702,-9.186,0.977,73.333,4649.000,1.000
8.564,6.838,-2.447,9.575,2.360,-0.451,-0.837,0.483,-0.135,0.969,-0.252,0.549,-9.094,0.854,73.333,4650.000,1.000
8.137,4.035,-3.791,9.518,1.360,-1.016,-1.491,-0.232,-0.136,0.969,-0.253,0.549,-9.094,0.671,73.333,4651.000,1.000
6.323,0.610,-5.591,8.529,0.430,-0.582,-1.582,-0.380,-0.138,0.969,-0.257,0.488,-9.033,0.549,73.333,4652.000,1.000
3.511,-2.607,-7.307,6.876,-0.052,0.487,-0.831,0.366,-0.139,0.967,-0.255,0.519,-8.972,0.580,73.333,4653.000,1.000
0.956,-4.384,-8.125,5.041,0.194,1.233,0.520,1.897,-0.140,0.966,-0.256,0.549,-8.881,0.519,73.333,4654.000,1.000
-0.109,-3.782,-7.523,3.452,1.327,1.647,2.048,3.650,-0.141,0.965,-0.253,0.549,-8.972,0.702,73.333,4655.000,1.000
0.960,-0.653,-5.446,2.510,3.433,2.662,3.562,5.098,-0.142,0.965,-0.256,0.488,-8.759,0.549,73.333,4656.000,1.000
4.140,4.215,-2.251,2.607,6.428,4.709,5.171,6.175,-0.145,0.964,-0.254,0.610,-8.789,0.580,73.333,4657.000,1.000
8.687,9.200,1.212,3.802,9.779,7.101,6.975,7.109,-0.146,0.965,-0.252,0.763,-8.789,0.671,73.333,4658.000,1.000
13.295,12.458,3.766,5.657,12.588,9.030,8.845,7.991,-0.147,0.965,-0.250,0.824,-8.789,0.824,73.333,4659.000,1.000
16.843,12.866,4.663,7.681,14.158,10.322,10.537,8.743,-0.147,0.965,-0.251,0.793,-8.789,0.916,73.333,4660.000,1.000
19.172,10.626,4.274,9.895,14.525,11.075,11.955,9.503,-0.147,0.965,-0.252,0.885,-8.881,1.068,73.333,4661.000,1.000
20.942,7.365,3.929,12.670,14.532,11.590,13.316,10.683,-0.148,0.963,-0.251,1.068,-9.033,1.190,73.333,4662.000,1.000
22.675,5.292,4.900,15.962,15.262,12.684,14.941,12.412,-0.148,0.964,-0.249,1.099,-9.033,1.312,73.333,4663.000,1.000
24.156,5.737,7.429,19.002,17.151,15.059,16.771,14.202,-0.148,0.966,-0.250,1.190,-9.155,1.404,73.333,4664.000,1.000
24.822,8.522,10.660,20.811,19.569,17.947,18.105,15.247,-0.148,0.968,-0.250,1.160,-9.277,1.556,73.333,4665.000,1.000
24.410,12.485,13.350,20.844,21.269,19.113,17.953,14.864,-0.146,0.969,-0.250,1.190,-9.247,1.678,73.333,4666.000,1.000
23.218,16.276,14.722,19.350,21.422,16.924,15.906,12.923,-0.146,0.970,-0.252,1.190,-9.186,1.740,73.333,4667.000,1.000
22.033,19.074,14.922,17.272,20.281,12.148,12.638,10.113,-0.144,0.969,-0.249,1.190,-9.186,1.831,73.333,4668.000,1.000
21.837,21.006,14.800,15.617,18.911,7.570,9.554,7.634,-0.144,0.967,-0.250,1.190,-9.186,1.923,73.333,4669.000,1.000
23.239,22.648,15.157,14.797,18.337,6.029,8.006,6.498,-0.141,0.965,-0.250,1.251,-9.186,1.984,73.333,4670.000,1.000
25.885,23.918,15.911,14.399,18.649,8.231,8.374,6.856,-0.140,0.965,-0.251,1.251,-9.033,1.984,73.333,4671.000,1.000
28.428,23.842,15.914,13.467,18.783,12.139,9.707,7.863,-0.138,0.965,-0.251,1.312,-8.972,1.953,73.333,4672.000,1.000
