EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
19.576,28.770,16.369,14.463,24.520,22.691,21.424,19.081,-0.062,0.939,-0.348,0.427,-0.183,1.617,73.333,217698.000,1.000
16.302,21.218,11.856,10.393,19.453,17.574,16.955,15.086,-0.063,0.938,-0.348,0.519,-0.275,1.617,73.333,217699.000,1.000
9.062,11.738,4.212,3.872,12.241,12.161,10.644,9.250,-0.064,0.939,-0.352,0.519,-0.305,1.587,73.333,217700.000,1.000
0.272,2.890,-4.126,-2.926,4.913,7.732,4.454,3.213,-0.064,0.938,-0.351,0.580,-0.214,1.556,73.333,217701.000,1.000
-7.305,-3.072,-10.729,-7.975,-0.645,4.773,0.214,-1.307,-0.063,0.938,-0.353,0.549,-0.183,1.465,73.333,217702.000,1.000
-11.461,-4.531,-13.901,-10.092,-3.008,3.838,-0.850,-2.907,-0.063,0.938,-0.356,0.580,-0.366,1.526,73.333,217703.000,1.000
-11.567,-1.498,-13.454,-9.433,-1.993,5.194,1.033,-1.397,-0.061,0.935,-0.353,0.519,-0.244,1.495,73.333,217704.000,1.000
-8.526,4.254,-10.500,-7.074,1.286,8.233,4.379,2.057,-0.059,0.933,-0.354,0.702,-0.092,1.343,73.333,217705.000,1.000
-3.661,10.583,-6.212,-3.818,5.512,11.974,7.803,6.065,-0.063,0.934,-0.352,0.793,-0.092,1.282,73.333,217706.000,1.000
1.607,15.774,-1.552,-0.056,9.553,15.231,10.437,9.644,-0.064,0.932,-0.353,0.977,-0.092,1.312,73.333,217707.000,1.000
5.291,18.087,1.996,3.312,11.901,16.139,11.159,11.662,-0.064,0.931,-0.354,1.068,-0.153,1.251,73.333,217708.000,1.000
5.552,16.169,2.901,5.024,11.156,13.053,8.872,11.008,-0.064,0.931,-0.354,1.160,-0.122,1.160,73.333,217709.000,1.000
2.078,10.348,0.824,4.530,7.348,6.295,3.739,7.615,-0.068,0.931,-0.354,1.343,-0.214,1.099,73.333,217710.000,1.000
-3.712,2.917,-3.123,2.356,2.190,-1.562,-2.532,2.765,-0.069,0.931,-0.356,1.556,-0.061,1.129,73.333,217711.000,1.000
-9.468,-2.988,-7.069,-0.162,-1.892,-7.133,-7.502,-1.552,-0.068,0.932,-0.355,1.678,-0.214,1.099,73.333,217712.000,1.000
-12.853,-4.991,-9.231,-1.457,-3.019,-8.049,-9.137,-3.559,-0.069,0.933,-0.356,1.862,-0.183,1.099,73.333,217713.000,1.000
-12.338,-2.520,-8.611,-0.510,-0.667,-4.080,-6.657,-2.347,-0.070,0.930,-0.355,1.984,-0.427,1.160,73.333,217714.000,1.000
-7.900,3.092,-5.489,2.530,4.158,2.788,-0.959,1.775,-0.071,0.931,-0.355,2.136,-0.427,1.099,73.333,217715.000,1.000
-1.500,9.214,-1.562,6.199,9.270,9.379,5.510,7.098,-0.071,0.931,-0.357,2.258,-0.549,1.190,73.333,217716.000,1.000
3.744,13.260,1.034,8.638,12.510,13.282,10.113,11.336,-0.071,0.934,-0.358,2.411,-0.610,1.190,73.333,217717.000,1.000
5.460,14.060,1.205,8.976,13.036,13.913,11.595,13.088,-0.070,0.934,-0.357,2.380,-0.732,1.190,73.333,217718.000,1.000
3.093,11.969,-0.767,7.522,11.312,11.742,10.188,12.322,-0.071,0.937,-0.358,2.411,-0.946,1.160,73.333,217719.000,1.000
-1.855,8.425,-3.542,5.509,8.701,7.879,7.224,10.259,-0.072,0.939,-0.356,2.411,-0.885,1.129,73.333,217720.000,1.000
-6.019,5.830,-4.762,5.264,7.506,4.655,5.173,9.324,-0.070,0.939,-0.358,2.319,-1.038,1.099,73.333,217721.000,1.000
-6.224,6.287,-2.470,8.778,9.669,4.373,6.312,11.590,-0.068,0.938,-0.358,2.197,-1.129,0.977,73.333,217722.000,1.000
-2.554,9.351,2.385,14.922,14.318,6.585,10.101,16.147,-0.066,0.938,-0.357,2.075,-1.282,1.038,73.333,217723.000,1.000
1.462,12.059,6.033,19.462,17.748,8.066,12.858,19.079,-0.062,0.938,-0.358,1.923,-1.312,1.251,73.333,217724.000,1.000
2.117,11.655,5.170,18.544,16.536,5.957,10.820,16.765,-0.056,0.940,-0.358,1.678,-1.160,1.312,73.333,217725.000,1.000
-1.197,7.937,-0.002,12.013,10.627,0.534,3.701,9.244,-0.055,0.945,-0.361,1.648,-0.977,1.373,73.333,217726.000,1.000
-5.661,3.166,-5.919,3.587,3.424,-5.073,-4.796,0.383,-0.057,0.947,-0.365,1.648,-0.793,1.495,73.333,217727.000,1.000
-7.817,0.045,-8.775,-2.334,-1.155,-7.686,-10.164,-5.388,-0.058,0.950,-0.366,1.526,-0.610,1.495,73.333,217728.000,1.000
-6.026,0.171,-6.946,-3.495,-1.110,-5.888,-9.970,-5.863,-0.057,0.952,-0.364,1.526,-0.427,1.495,73.333,217729.000,1.000
-0.483,3.830,-0.881,0.121,3.523,0.113,-4.137,-1.135,-0.058,0.950,-0.364,1.343,-0.305,1.465,73.333,217730.000,1.000
7.046,9.616,7.273,6.613,10.708,8.253,5.081,6.627,-0.059,0.946,-0.363,1.068,-0.153,1.495,73.333,217731.000,1.000
13.662,14.693,14.190,12.642,16.944,14.951,13.601,13.662,-0.061,0.945,-0.366,0.946,-0.061,1.404,73.333,217732.000,1.000
17.290,16.925,17.477,15.753,19.758,17.732,18.191,17.095,-0.066,0.943,-0.367,0.885,0.061,1.221,73.333,217733.000,1.000
17.506,15.900,16.764,15.789,18.973,16.657,18.217,16.523,-0.068,0.946,-0.365,0.854,0.183,1.038,73.333,217734.000,1.000
14.025,11.518,12.219,13.298,14.960,12.467,14.139,12.517,-0.068,0.943,-0.365,0.824,0.153,1.129,73.333,217735.000,1.000
