EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.541,1.081,-4.145,-0.154,1.532,-2.505,-3.193,-3.416,-0.071,0.956,-0.308,0.732,-0.305,0.305,73.333,15513.000,1.000
6.935,5.380,-1.949,1.664,4.398,2.081,-0.331,-0.752,-0.072,0.954,-0.308,0.763,-0.305,0.305,73.333,15514.000,1.000
7.565,7.042,0.405,4.039,6.562,4.063,2.314,2.024,-0.074,0.953,-0.308,0.885,-0.183,0.336,73.333,15515.000,1.000
7.986,7.121,3.357,7.362,8.523,4.289,4.795,4.627,-0.076,0.952,-0.309,0.916,-0.275,0.244,73.333,15516.000,1.000
8.277,6.957,6.723,11.207,10.524,4.231,7.057,6.689,-0.075,0.954,-0.308,0.916,-0.214,0.275,73.333,15517.000,1.000
8.008,7.175,9.478,14.206,12.093,4.830,8.490,7.656,-0.075,0.957,-0.308,1.007,-0.183,0.000,73.333,15518.000,1.000
7.028,7.752,10.626,15.188,12.508,6.108,8.393,7.174,-0.073,0.957,-0.309,1.007,-0.092,-0.031,73.333,15519.000,1.000
5.885,8.617,10.070,14.185,11.558,7.662,6.846,5.485,-0.071,0.961,-0.308,1.099,-0.183,-0.061,73.333,15520.000,1.000
5.095,9.375,8.258,11.933,9.457,8.880,4.660,3.154,-0.072,0.963,-0.309,1.007,-0.061,-0.092,73.333,15521.000,1.000
4.527,9.042,5.513,8.930,6.461,9.121,2.653,0.655,-0.072,0.961,-0.310,0.977,-0.122,-0.061,73.333,15522.000,1.000
3.964,7.271,2.320,5.520,3.132,8.368,1.378,-1.495,-0.072,0.957,-0.311,0.793,-0.061,-0.122,73.333,15523.000,1.000
3.639,5.110,-0.413,2.218,0.346,7.153,1.103,-2.705,-0.073,0.952,-0.310,0.977,-0.031,-0.031,73.333,15524.000,1.000
3.974,4.021,-1.793,-0.362,-1.166,6.080,1.921,-2.605,-0.075,0.948,-0.309,1.038,0.092,-0.031,73.333,15525.000,1.000
5.146,4.724,-1.460,-1.710,-1.086,5.720,3.724,-1.270,-0.074,0.946,-0.309,1.129,0.031,0.031,73.333,15526.000,1.000
6.807,6.659,0.083,-1.808,0.194,5.912,5.701,0.606,-0.072,0.947,-0.310,1.251,0.244,0.092,73.333,15527.000,1.000
8.118,8.271,1.604,-1.256,1.561,5.534,6.475,1.954,-0.071,0.954,-0.312,1.526,0.275,0.092,73.333,15528.000,1.000
8.138,7.983,1.849,-0.786,1.902,3.892,5.323,2.104,-0.073,0.956,-0.311,1.526,0.153,0.183,73.333,15529.000,1.000
6.353,5.064,0.235,-0.765,0.796,1.604,2.748,1.216,-0.075,0.959,-0.310,1.495,0.122,0.183,73.333,15530.000,1.000
2.989,-0.094,-2.995,-1.264,-1.557,-0.396,-0.245,-0.120,-0.077,0.962,-0.309,1.495,0.061,0.305,73.333,15531.000,1.000
-1.094,-6.326,-7.059,-2.337,-4.773,-2.144,-2.993,-1.455,-0.078,0.964,-0.313,1.373,-0.061,0.305,73.333,15532.000,1.000
-4.659,-11.585,-10.717,-3.724,-8.020,-3.720,-4.979,-2.409,-0.081,0.963,-0.309,1.251,-0.214,0.244,73.333,15533.000,1.000
-6.514,-13.026,-12.412,-4.535,-9.706,-3.639,-5.396,-2.462,-0.080,0.963,-0.309,1.129,-0.214,0.061,73.333,15534.000,1.000
-6.468,-9.640,-11.517,-4.186,-8.885,-0.830,-4.109,-1.603,-0.083,0.963,-0.309,1.007,-0.214,-0.061,73.333,15535.000,1.000
-5.557,-4.010,-9.162,-3.233,-6.584,2.506,-2.490,-0.761,-0.082,0.963,-0.312,0.854,-0.458,-0.122,73.333,15536.000,1.000
-4.673,0.521,-6.841,-2.368,-4.457,2.950,-2.019,-0.740,-0.083,0.962,-0.313,0.732,-0.488,-0.244,73.333,15537.000,1.000
-3.663,2.781,-4.946,-1.390,-2.932,-0.099,-2.570,-1.209,-0.083,0.963,-0.312,0.702,-0.702,-0.336,73.333,15538.000,1.000
-1.928,3.498,-3.014,0.302,-1.338,-4.205,-2.779,-1.176,-0.081,0.963,-0.313,0.702,-0.824,-0.275,73.333,15539.000,1.000
0.832,3.947,-0.593,2.923,0.983,-6.595,-1.539,-0.057,-0.083,0.962,-0.312,0.671,-0.916,-0.336,73.333,15540.000,1.000
4.346,4.731,2.190,5.997,3.927,-6.020,1.136,1.803,-0.079,0.958,-0.312,0.702,-1.099,-0.366,73.333,15541.000,1.000
7.875,5.507,4.613,8.551,6.707,-2.645,4.453,3.544,-0.080,0.957,-0.312,0.763,-0.946,-0.366,73.333,15542.000,1.000
10.663,5.864,5.906,9.802,8.515,2.470,7.543,4.594,-0.079,0.958,-0.314,0.732,-0.854,-0.244,73.333,15543.000,1.000
12.336,6.059,5.780,9.654,8.967,7.330,9.571,4.837,-0.078,0.958,-0.314,0.763,-0.946,-0.214,73.333,15544.000,1.000
12.990,6.875,4.647,8.634,8.206,9.782,9.829,4.413,-0.080,0.958,-0.310,0.732,-1.038,-0.122,73.333,15545.000,1.000
12.966,8.658,3.361,7.521,6.848,9.115,8.357,3.720,-0.077,0.961,-0.310,0.824,-1.038,-0.061,73.333,15546.000,1.000
12.516,10.712,2.671,6.973,5.747,6.558,6.187,3.396,-0.077,0.963,-0.312,0.793,-1.129,0.153,73.333,15547.000,1.000
11.741,12.166,2.895,7.226,5.722,4.286,4.728,4.001,-0.079,0.963,-0.309,0.732,-1.221,0.244,73.333,15548.000,1.000
10.605,12.931,3.808,7.810,7.131,4.098,4.856,5.524,-0.077,0.965,-0.309,0.610,-1.221,0.305,73.333,15549.000,1.000
8.908,13.596,4.755,7.779,9.577,6.750,6.454,7.225,-0.079,0.963,-0.310,0.519,-1.190,0.366,73.333,15550.000,1.000
6.490,14.686,5.088,6.570,12.095,11.650,8.583,8.126,-0.081,0.961,-0.309,0.397,-1.099,0.397,73.333,15551.000,1.000
3.654,15.909,4.533,4.522,13.552,16.470,9.975,7.685,-0.080,0.959,-0.308,0.214,-1.129,0.488,73.333,15552.000,1.000
1.317,16.223,3.385,2.684,13.189,18.124,9.710,6.115,-0.080,0.958,-0.309,0.244,-1.251,0.519,73.333,15553.000,1.000
0.430,14.495,2.246,2.000,10.993,15.007,7.716,4.129,-0.081,0.957,-0.307,0.305,-1.251,0.641,73.333,15554.000,1.000
1.087,10.138,1.346,2.331,7.446,7.947,4.586,2.233,-0.080,0.955,-0.309,0.336,-1.190,0.641,73.333,15555.000,1.000
2.668,4.134,0.660,2.791,3.477,-0.265,1.343,0.609,-0.080,0.955,-0.308,0.275,-1.282,0.610,73.333,15556.000,1.000
4.814,-0.714,0.718,3.243,0.704,-5.967,-0.617,-0.314,-0.079,0.955,-0.307,0.336,-1.282,0.610,73.333,15557.000,1.000
7.647,-1.552,2.500,4.640,0.783,-6.518,-0.201,0.107,-0.078,0.956,-0.308,0.336,-1.343,0.763,73.333,15558.000,1.000
11.228,2.682,6.454,7.867,4.247,-1.812,2.536,2.064,-0.075,0.957,-0.311,0.336,-1.312,0.732,73.333,15559.000,1.000
