EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.011,0.852,-5.457,-6.600,-8.430,-1.659,-7.088,-4.130,-0.120,1.005,0.078,-0.488,-0.122,0.977,53.333,125913.000,1.000
-7.959,-2.958,-8.245,-9.114,-11.801,-5.988,-14.004,-8.198,-0.121,1.005,0.078,-0.244,-0.061,0.977,53.333,125914.000,1.000
-10.124,-4.761,-8.820,-10.212,-12.779,-8.246,-17.166,-10.236,-0.121,1.004,0.076,-0.092,0.122,1.007,53.333,125915.000,1.000
-10.525,-4.316,-6.766,-9.164,-11.051,-7.738,-15.616,-9.521,-0.122,1.008,0.078,0.031,0.183,1.099,53.333,125916.000,1.000
-9.673,-3.022,-3.720,-6.557,-7.566,-4.959,-10.206,-6.262,-0.123,1.008,0.082,0.122,0.214,1.068,53.333,125917.000,1.000
-8.383,-2.152,-1.431,-3.667,-3.833,-1.418,-3.507,-1.888,-0.121,1.007,0.081,0.122,0.214,1.099,53.333,125918.000,1.000
-6.887,-1.948,-0.419,-1.501,-1.305,1.042,1.255,1.355,-0.123,1.006,0.077,0.214,0.305,0.977,53.333,125919.000,1.000
-5.076,-2.228,-0.381,-0.387,-0.888,1.215,2.112,1.770,-0.122,1.004,0.075,0.244,0.305,0.946,53.333,125920.000,1.000
-3.110,-3.076,-1.161,-0.219,-2.577,-0.692,-0.516,-0.711,-0.124,1.005,0.076,0.427,0.214,1.007,53.333,125921.000,1.000
-1.257,-4.346,-2.582,-0.624,-5.273,-3.059,-4.316,-4.574,-0.125,1.008,0.077,0.610,0.061,0.977,53.333,125922.000,1.000
0.882,-4.771,-3.412,-0.686,-6.913,-3.643,-6.316,-7.455,-0.130,1.009,0.077,0.732,-0.031,1.007,53.333,125923.000,1.000
4.394,-2.497,-1.550,0.919,-5.500,-0.924,-4.425,-7.274,-0.128,1.011,0.079,0.824,-0.122,1.007,53.333,125924.000,1.000
9.774,2.926,3.859,4.831,-0.756,4.682,1.036,-3.590,-0.129,1.012,0.078,0.824,-0.122,0.946,53.333,125925.000,1.000
15.793,9.463,10.830,10.010,5.320,10.954,7.391,2.003,-0.129,1.012,0.079,0.854,-0.366,0.977,53.333,125926.000,1.000
20.165,14.101,15.911,14.271,10.010,15.476,11.843,7.160,-0.127,1.012,0.075,0.854,-0.519,0.916,53.333,125927.000,1.000
21.529,15.429,17.257,15.982,11.953,17.058,13.460,10.414,-0.128,1.011,0.075,0.793,-0.610,0.885,53.333,125928.000,1.000
20.449,14.250,15.771,15.036,11.398,15.562,12.585,11.338,-0.129,1.012,0.074,0.824,-0.702,0.854,53.333,125929.000,1.000
18.392,11.857,13.250,12.252,8.950,11.149,9.317,9.802,-0.127,1.015,0.077,0.732,-0.793,0.854,53.333,125930.000,1.000
16.320,8.717,10.465,8.463,5.072,4.655,3.864,6.099,-0.124,1.015,0.079,0.732,-0.946,0.885,53.333,125931.000,1.000
14.557,5.096,7.424,4.373,0.650,-1.804,-2.313,1.463,-0.123,1.013,0.079,0.702,-0.916,0.977,53.333,125932.000,1.000
13.422,2.039,4.712,0.823,-2.895,-5.790,-6.876,-2.401,-0.124,1.012,0.078,0.671,-1.007,1.007,53.333,125933.000,1.000
13.374,1.011,3.736,-1.155,-4.259,-6.018,-7.816,-4.131,-0.124,1.012,0.076,0.702,-1.007,0.916,53.333,125934.000,1.000
14.331,2.462,5.333,-0.822,-2.992,-2.826,-4.369,-3.043,-0.122,1.013,0.078,0.610,-1.038,0.885,53.333,125935.000,1.000
14.885,4.713,8.089,1.330,-0.166,1.765,1.893,0.282,-0.121,1.014,0.079,0.549,-1.099,0.916,53.333,125936.000,1.000
12.804,4.774,8.833,3.453,1.899,4.568,7.096,3.739,-0.119,1.011,0.076,0.366,-0.946,0.885,53.333,125937.000,1.000
