EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
8.289,7.447,11.597,9.981,13.529,11.701,15.385,11.282,-0.105,1.016,0.072,0.793,-0.153,0.488,46.667,191025.000,1.000
8.632,7.339,11.241,10.119,14.269,13.411,17.681,12.342,-0.105,1.016,0.072,0.702,-0.153,0.580,46.667,191026.000,1.000
9.603,7.064,10.922,10.115,13.537,13.262,16.682,11.358,-0.103,1.018,0.070,0.763,-0.214,0.580,46.667,191027.000,1.000
11.155,6.894,11.265,10.717,12.100,12.103,13.988,9.503,-0.104,1.019,0.070,0.732,-0.244,0.580,46.667,191028.000,1.000
12.026,6.157,11.152,11.334,10.369,10.707,11.186,8.034,-0.105,1.019,0.069,0.671,-0.122,0.519,46.667,191029.000,1.000
11.098,4.441,9.357,10.796,8.424,9.125,8.597,7.274,-0.105,1.021,0.071,0.580,-0.183,0.519,46.667,191030.000,1.000
8.851,2.790,6.630,9.078,6.801,7.407,6.396,7.056,-0.106,1.019,0.069,0.580,-0.275,0.610,46.667,191031.000,1.000
7.004,2.939,5.168,7.541,6.409,6.197,5.323,7.298,-0.109,1.020,0.071,0.580,-0.336,0.610,46.667,191032.000,1.000
6.900,5.543,6.229,7.581,7.610,6.364,5.899,8.011,-0.110,1.018,0.071,0.580,-0.397,0.488,46.667,191033.000,1.000
8.410,9.648,8.939,9.260,9.878,8.429,7.942,9.219,-0.114,1.019,0.071,0.488,-0.458,0.336,46.667,191034.000,1.000
10.421,13.796,11.553,11.399,12.394,12.122,10.941,10.924,-0.113,1.018,0.070,0.397,-0.580,0.275,46.667,191035.000,1.000
12.130,17.211,13.350,12.951,14.672,16.244,14.280,12.917,-0.111,1.019,0.074,0.336,-0.580,0.183,46.667,191036.000,1.000
13.483,19.796,14.793,13.876,16.597,19.334,17.228,14.744,-0.109,1.021,0.073,0.275,-0.702,0.153,46.667,191037.000,1.000
14.555,21.482,16.229,14.598,18.196,20.852,19.350,16.088,-0.106,1.021,0.071,0.122,-0.824,0.275,46.667,191038.000,1.000
15.248,22.131,17.296,15.226,19.596,21.504,20.906,17.091,-0.104,1.021,0.071,0.031,-0.885,0.244,46.667,191039.000,1.000
15.737,22.030,17.776,15.629,20.962,22.171,22.287,17.976,-0.103,1.022,0.072,-0.031,-0.854,0.366,46.667,191040.000,1.000
16.650,21.994,18.381,15.906,22.286,22.805,23.228,18.533,-0.103,1.021,0.074,-0.122,-0.824,0.305,46.667,191041.000,1.000
18.350,22.553,20.046,16.343,23.182,22.527,22.866,18.222,-0.101,1.019,0.075,-0.244,-0.732,0.397,46.667,191042.000,1.000
20.252,23.067,22.431,16.849,22.817,20.354,20.237,16.631,-0.099,1.016,0.076,-0.275,-0.671,0.458,46.667,191043.000,1.000
21.295,22.155,23.833,16.814,20.463,16.021,14.982,13.847,-0.102,1.013,0.073,-0.275,-0.610,0.549,46.667,191044.000,1.000
21.174,19.385,23.094,15.850,16.571,10.771,8.331,10.685,-0.102,1.012,0.073,-0.153,-0.427,0.549,46.667,191045.000,1.000
20.713,16.109,21.133,14.488,13.072,7.156,3.345,8.612,-0.101,1.009,0.074,0.000,-0.427,0.641,46.667,191046.000,1.000
20.837,14.130,19.899,13.757,12.006,7.329,3.305,9.082,-0.101,1.005,0.076,0.122,-0.458,0.671,46.667,191047.000,1.000
21.374,13.626,19.899,13.935,13.526,11.019,8.714,12.204,-0.100,1.003,0.076,0.275,-0.305,0.763,46.667,191048.000,1.000
21.149,12.853,19.483,14.014,15.379,15.169,15.691,15.894,-0.101,1.003,0.073,0.366,-0.214,0.854,46.667,191049.000,1.000
19.345,10.122,16.910,12.778,14.836,16.038,18.510,17.137,-0.100,1.001,0.075,0.458,-0.183,0.916,46.667,191050.000,1.000
16.553,5.744,12.648,10.378,11.284,12.231,14.594,14.651,-0.103,1.000,0.078,0.610,-0.153,0.946,46.667,191051.000,1.000
