EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
17.857,11.710,11.896,13.228,12.746,11.595,18.093,10.630,-0.125,1.009,0.115,-0.488,-0.366,0.824,53.333,158473.000,1.000
18.661,10.718,10.452,13.652,11.722,10.199,15.439,9.360,-0.126,1.004,0.112,-0.519,-0.336,0.916,53.333,158474.000,1.000
18.585,9.038,8.732,12.751,8.862,5.923,7.929,4.995,-0.126,1.003,0.112,-0.366,-0.427,0.824,53.333,158475.000,1.000
17.432,6.610,6.971,10.170,4.328,-0.733,-3.067,-1.611,-0.126,1.001,0.110,-0.244,-0.458,0.916,53.333,158476.000,1.000
14.909,3.463,4.661,5.916,-0.787,-7.650,-14.166,-8.156,-0.125,0.998,0.111,0.000,-0.458,0.977,53.333,158477.000,1.000
11.448,0.580,1.938,1.085,-4.634,-12.084,-21.371,-12.142,-0.122,0.999,0.113,0.122,-0.488,0.946,53.333,158478.000,1.000
8.421,-0.463,0.248,-2.335,-5.548,-12.227,-22.026,-12.186,-0.123,1.001,0.112,0.366,-0.549,1.007,53.333,158479.000,1.000
7.210,1.056,1.108,-2.670,-3.203,-8.146,-16.277,-8.650,-0.125,1.001,0.111,0.549,-0.580,0.946,53.333,158480.000,1.000
7.952,4.035,4.217,0.004,0.859,-1.896,-7.372,-3.503,-0.124,1.004,0.112,0.641,-0.580,0.916,46.667,158481.000,1.000
9.609,6.423,7.497,3.695,4.224,3.586,0.226,0.849,-0.125,1.004,0.115,0.763,-0.519,0.916,46.667,158482.000,1.000
11.321,7.265,9.285,6.176,5.559,6.337,3.958,3.126,-0.124,1.005,0.113,0.854,-0.427,1.038,46.667,158483.000,1.000
13.112,7.424,9.892,6.824,5.425,6.421,4.571,3.727,-0.124,1.006,0.112,0.824,-0.519,1.007,46.667,158484.000,1.000
15.065,8.119,10.555,6.588,5.140,5.386,4.587,3.919,-0.122,1.007,0.110,0.885,-0.488,1.068,46.667,158485.000,1.000
16.398,9.240,11.373,6.319,5.199,4.811,5.706,4.600,-0.122,1.007,0.112,1.007,-0.366,1.007,46.667,158486.000,1.000
15.962,9.607,11.124,5.771,5.063,5.210,7.655,5.711,-0.123,1.008,0.113,0.946,-0.458,1.007,46.667,158487.000,1.000
13.646,8.629,9.139,4.465,4.270,6.059,9.089,6.568,-0.122,1.010,0.110,0.854,-0.488,0.946,46.667,158488.000,1.000
10.713,7.015,6.513,2.781,3.156,6.449,9.089,6.551,-0.121,1.010,0.111,0.946,-0.427,0.854,46.667,158489.000,1.000
8.521,5.743,4.947,1.615,2.452,5.821,7.968,5.634,-0.121,1.011,0.115,0.732,-0.275,0.885,46.667,158490.000,1.000
7.294,4.991,4.871,1.451,2.706,4.631,7.153,4.596,-0.121,1.011,0.115,0.641,-0.305,0.885,46.667,158491.000,1.000
6.336,4.355,5.236,2.157,4.075,4.077,7.994,4.498,-0.123,1.014,0.115,0.580,-0.244,0.763,46.667,158492.000,1.000
5.284,3.793,5.090,3.449,6.300,4.829,10.396,5.702,-0.125,1.015,0.114,0.366,-0.214,0.824,46.667,158493.000,1.000
4.785,3.978,4.846,5.201,8.811,6.420,12.746,7.452,-0.126,1.015,0.114,0.153,-0.214,0.671,46.667,158494.000,1.000
5.668,5.403,5.475,7.184,10.776,7.725,13.014,8.329,-0.126,1.010,0.115,-0.092,-0.214,0.702,46.667,158495.000,1.000
7.651,7.227,6.670,8.637,11.075,7.436,9.728,7.001,-0.125,1.007,0.114,-0.122,-0.183,0.641,46.667,158496.000,1.000
9.366,7.654,6.721,8.501,8.798,4.499,2.698,3.009,-0.125,1.007,0.114,-0.275,-0.153,0.519,46.667,158497.000,1.000
9.899,5.930,4.752,6.640,4.399,-0.826,-6.195,-2.573,-0.125,1.007,0.116,-0.183,-0.244,0.458,46.667,158498.000,1.000
9.885,3.404,2.270,4.462,-0.063,-6.639,-13.476,-7.501,-0.126,1.006,0.116,-0.122,-0.275,0.458,46.667,158499.000,1.000
10.490,1.981,1.531,3.460,-2.562,-10.910,-16.442,-9.860,-0.125,1.004,0.113,-0.153,-0.214,0.427,46.667,158500.000,1.000
11.699,2.033,2.873,3.571,-2.705,-12.826,-14.978,-9.247,-0.125,1.004,0.113,-0.122,-0.427,0.458,46.667,158501.000,1.000
12.404,2.530,4.636,3.653,-1.425,-12.462,-10.932,-6.585,-0.125,1.005,0.111,-0.031,-0.397,0.397,46.667,158502.000,1.000
12.090,2.888,5.562,3.122,0.441,-9.984,-6.195,-3.075,-0.125,1.004,0.113,0.031,-0.336,0.458,46.667,158503.000,1.000
11.748,3.912,6.429,2.821,2.908,-5.573,-1.502,0.625,-0.126,1.002,0.111,0.061,-0.366,0.519,46.667,158504.000,1.000
12.712,6.516,8.790,4.126,6.168,0.052,3.059,4.211,-0.124,1.000,0.112,0.244,-0.397,0.427,46.667,158505.000,1.000
