EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.267,-8.208,-0.887,-0.291,-7.507,-5.788,-6.835,-3.891,-0.112,1.007,0.093,1.068,-0.610,0.916,53.333,142193.000,1.000
1.185,-7.264,-0.542,-0.326,-6.756,-4.480,-7.304,-3.933,-0.113,1.007,0.094,1.129,-0.580,0.793,53.333,142194.000,1.000
3.765,-4.521,0.775,0.303,-3.783,-1.018,-3.236,-1.342,-0.114,1.008,0.092,1.129,-0.366,0.763,53.333,142195.000,1.000
4.563,-0.806,2.795,1.191,0.141,2.659,3.558,2.471,-0.112,1.008,0.091,1.129,-0.366,0.732,53.333,142196.000,1.000
2.472,1.572,3.461,0.959,2.377,4.060,8.226,4.641,-0.114,1.004,0.093,1.160,-0.397,0.671,53.333,142197.000,1.000
-2.291,1.229,1.325,-1.244,1.384,2.161,7.143,3.371,-0.114,1.005,0.090,1.160,-0.305,0.519,53.333,142198.000,1.000
-7.350,-0.595,-2.237,-4.374,-1.628,-1.591,1.373,-0.313,-0.116,1.003,0.092,1.251,-0.366,0.397,53.333,142199.000,1.000
-9.474,-1.140,-3.925,-6.038,-3.663,-4.171,-4.102,-3.284,-0.117,1.005,0.090,1.495,-0.275,0.336,53.333,142200.000,1.000
-7.179,0.881,-1.983,-4.812,-2.917,-3.715,-5.168,-3.201,-0.118,1.005,0.090,1.617,-0.183,0.153,53.333,142201.000,1.000
-1.957,3.825,1.800,-1.847,-0.553,-1.406,-2.424,-0.640,-0.119,1.005,0.090,1.709,-0.214,0.031,53.333,142202.000,1.000
3.395,5.184,4.226,0.308,0.975,0.140,0.538,2.056,-0.119,1.005,0.089,1.862,-0.336,-0.061,53.333,142203.000,1.000
7.348,4.584,4.302,0.330,0.849,0.007,1.807,3.539,-0.118,1.005,0.088,1.953,-0.397,-0.092,53.333,142204.000,1.000
10.093,3.859,3.783,-0.921,0.393,-0.355,2.740,4.400,-0.119,1.006,0.089,1.953,-0.458,-0.214,53.333,142205.000,1.000
11.910,4.410,4.320,-1.943,0.921,0.635,5.071,5.611,-0.118,1.006,0.090,2.075,-0.519,-0.244,53.333,142206.000,1.000
12.046,5.458,5.237,-2.403,1.976,2.602,7.939,6.846,-0.119,1.005,0.092,2.014,-0.397,-0.305,53.333,142207.000,1.000
9.673,5.346,4.752,-2.945,2.201,3.740,8.863,6.962,-0.118,1.006,0.090,2.167,-0.427,-0.366,53.333,142208.000,1.000
5.536,3.896,2.758,-3.619,1.419,3.064,7.064,5.790,-0.118,1.009,0.091,2.075,-0.427,-0.366,53.333,142209.000,1.000
1.911,2.712,1.289,-3.263,1.128,1.801,4.803,4.864,-0.118,1.010,0.091,1.984,-0.397,-0.305,53.333,142210.000,1.000
0.635,3.228,2.095,-0.714,2.860,2.284,5.208,6.147,-0.119,1.012,0.088,1.984,-0.366,-0.305,53.333,142211.000,1.000
1.508,5.035,4.496,3.595,6.256,5.339,8.856,9.875,-0.116,1.011,0.086,1.862,-0.244,-0.275,53.333,142212.000,1.000
2.929,6.542,6.262,7.709,9.230,9.202,12.973,13.950,-0.118,1.011,0.089,1.770,-0.244,-0.122,53.333,142213.000,1.000
3.894,6.997,6.379,9.975,10.163,11.498,14.413,15.892,-0.118,1.013,0.086,1.617,-0.336,-0.061,53.333,142214.000,1.000
4.887,7.148,6.080,10.462,9.422,11.721,12.751,15.074,-0.118,1.011,0.084,1.617,-0.122,0.061,53.333,142215.000,1.000
6.765,7.822,6.915,10.412,8.525,11.155,10.119,12.861,-0.121,1.012,0.088,1.465,-0.153,0.214,53.333,142216.000,1.000
9.397,8.594,8.679,10.684,8.431,10.873,8.808,11.099,-0.120,1.012,0.089,1.251,-0.153,0.153,53.333,142217.000,1.000
11.775,8.405,9.907,11.094,8.985,10.734,9.551,10.668,-0.120,1.014,0.091,1.190,-0.061,0.092,53.333,142218.000,1.000
13.146,7.066,9.912,11.094,9.567,10.161,11.520,11.055,-0.120,1.014,0.093,1.129,-0.153,0.214,53.333,142219.000,1.000
13.511,5.451,9.447,10.591,9.705,9.004,13.163,11.071,-0.121,1.012,0.089,0.916,-0.092,0.183,53.333,142220.000,1.000
13.075,4.207,9.274,9.892,9.094,7.328,13.040,9.966,-0.121,1.010,0.092,0.824,-0.122,0.244,53.333,142221.000,1.000
11.748,2.961,8.955,9.163,7.490,4.888,10.364,7.856,-0.121,1.009,0.092,0.824,-0.122,0.275,53.333,142222.000,1.000
