EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
23.574,16.090,16.291,15.939,15.112,13.571,10.166,18.209,-0.081,0.977,-0.244,0.427,-0.366,0.214,60.000,26906.000,1.000
25.236,16.689,17.255,14.383,16.274,13.437,8.721,18.701,-0.080,0.977,-0.242,0.305,-0.275,0.244,60.000,26907.000,1.000
25.786,16.919,18.321,13.876,17.080,12.545,7.555,18.870,-0.080,0.977,-0.242,0.305,-0.214,0.244,60.000,26908.000,1.000
25.611,17.263,19.994,15.047,17.742,11.334,7.551,18.803,-0.083,0.979,-0.240,0.305,-0.275,0.336,60.000,26909.000,1.000
23.692,16.628,20.526,15.745,17.778,10.195,7.548,18.323,-0.083,0.978,-0.243,0.336,-0.214,0.336,60.000,26910.000,1.000
19.640,14.291,18.592,14.224,16.908,9.597,6.562,17.423,-0.082,0.979,-0.241,0.397,-0.305,0.214,60.000,26911.000,1.000
15.372,11.529,15.631,11.875,15.824,9.940,5.671,16.640,-0.082,0.980,-0.242,0.336,-0.275,0.305,60.000,26912.000,1.000
13.495,10.233,14.258,11.501,15.446,11.044,6.644,16.564,-0.080,0.982,-0.241,0.366,-0.305,0.366,60.000,26913.000,1.000
14.133,10.203,14.706,13.401,15.538,11.947,9.133,16.988,-0.081,0.982,-0.242,0.305,-0.336,0.214,60.000,26914.000,1.000
14.639,9.142,14.364,14.847,14.803,11.597,10.558,17.037,-0.083,0.983,-0.239,0.183,-0.366,0.305,60.000,26915.000,1.000
12.811,5.704,11.255,13.755,12.538,9.825,9.135,16.200,-0.083,0.985,-0.242,0.031,-0.336,0.275,60.000,26916.000,1.000
9.323,1.504,6.739,11.363,9.576,7.432,6.029,14.787,-0.082,0.984,-0.241,-0.031,-0.366,0.214,60.000,26917.000,1.000
6.327,-0.645,3.808,10.253,7.292,5.350,3.788,13.298,-0.084,0.984,-0.238,-0.061,-0.366,0.275,60.000,26918.000,1.000
4.610,0.144,3.480,10.742,6.167,4.033,3.256,11.880,-0.083,0.980,-0.240,-0.092,-0.397,0.183,60.000,26919.000,1.000
3.231,2.356,4.185,10.727,5.787,3.621,3.047,10.684,-0.083,0.979,-0.242,-0.153,-0.397,0.214,60.000,26920.000,1.000
1.702,4.419,4.537,8.990,5.882,4.267,2.011,10.245,-0.084,0.979,-0.240,-0.061,-0.458,0.244,60.000,26921.000,1.000
1.323,6.516,5.383,7.226,6.787,6.080,1.180,10.990,-0.083,0.977,-0.240,-0.061,-0.336,0.214,60.000,26922.000,1.000
3.591,9.511,8.240,7.860,8.681,8.632,2.367,12.498,-0.081,0.978,-0.238,-0.061,-0.366,0.214,60.000,26923.000,1.000
7.710,12.649,12.330,10.515,10.679,10.739,5.263,13.504,-0.082,0.978,-0.239,0.092,-0.275,0.183,60.000,26924.000,1.000
10.851,13.682,14.631,12.075,11.278,11.203,7.213,12.850,-0.085,0.978,-0.240,0.092,-0.397,0.092,60.000,26925.000,1.000
11.279,11.677,13.357,10.521,9.926,9.880,6.261,10.515,-0.085,0.979,-0.243,0.031,-0.458,0.031,60.000,26926.000,1.000
10.436,8.721,10.376,7.516,7.779,7.812,3.514,7.716,-0.083,0.978,-0.242,0.092,-0.397,0.092,60.000,26927.000,1.000
11.107,7.849,9.118,6.242,6.506,6.195,1.628,5.868,-0.082,0.978,-0.241,0.061,-0.427,0.092,60.000,26928.000,1.000
13.856,9.527,10.447,7.276,6.477,5.321,1.426,5.355,-0.083,0.977,-0.242,0.153,-0.427,0.153,60.000,26929.000,1.000
16.339,11.236,11.872,8.031,6.614,4.691,1.220,5.434,-0.085,0.977,-0.242,0.122,-0.427,0.153,60.000,26930.000,1.000
16.312,10.687,11.014,6.488,5.978,3.911,-0.437,5.293,-0.083,0.976,-0.240,0.092,-0.519,0.183,60.000,26931.000,1.000
14.299,8.445,8.648,4.101,4.885,3.078,-2.525,4.858,-0.084,0.976,-0.241,0.214,-0.549,0.122,60.000,26932.000,1.000
12.652,6.798,7.489,3.976,4.327,2.434,-2.807,4.602,-0.085,0.977,-0.242,0.275,-0.488,0.092,60.000,26933.000,1.000
12.540,6.686,8.644,6.909,4.714,2.047,-0.778,4.962,-0.086,0.977,-0.241,0.336,-0.488,0.122,60.000,26934.000,1.000
12.849,6.740,10.369,10.492,5.535,1.895,1.624,5.974,-0.083,0.978,-0.245,0.397,-0.458,0.183,60.000,26935.000,1.000
12.119,5.514,10.578,12.266,6.180,2.079,2.485,7.330,-0.084,0.977,-0.245,0.549,-0.641,0.214,60.000,26936.000,1.000
10.575,3.665,9.527,12.564,6.701,2.782,2.228,8.659,-0.083,0.975,-0.240,0.702,-0.641,0.183,60.000,26937.000,1.000
9.355,2.985,8.983,13.308,7.396,3.900,2.607,9.658,-0.085,0.974,-0.240,0.671,-0.671,0.122,60.000,26938.000,1.000
8.218,3.719,9.203,14.661,7.913,4.830,3.896,10.043,-0.085,0.974,-0.243,0.610,-0.580,0.183,60.000,26939.000,1.000
5.419,4.169,8.363,14.542,7.487,5.021,4.461,9.723,-0.084,0.975,-0.244,0.885,-0.641,0.244,60.000,26940.000,1.000
0.422,3.273,5.526,11.862,6.254,4.806,3.448,9.169,-0.084,0.975,-0.245,0.854,-0.610,0.336,60.000,26941.000,1.000
-4.342,2.470,2.825,8.845,5.683,5.268,2.670,9.353,-0.083,0.975,-0.242,0.702,-0.641,0.336,60.000,26942.000,1.000
