EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.316,-3.483,-3.261,2.125,-0.130,-3.401,-1.346,-2.393,-0.087,0.977,-0.247,0.702,-1.190,0.305,60.000,84449.000,1.000
-6.717,-1.944,-1.960,3.107,1.534,-0.042,1.523,-0.114,-0.086,0.978,-0.246,0.671,-1.251,0.336,60.000,84450.000,1.000
-5.527,-0.767,-1.058,3.217,3.101,3.187,4.325,2.781,-0.087,0.978,-0.246,0.641,-1.221,0.275,60.000,84451.000,1.000
-4.273,-0.340,-0.313,3.382,4.154,5.002,6.634,5.357,-0.083,0.979,-0.247,0.702,-1.251,0.275,60.000,84452.000,1.000
-3.207,-1.348,-0.172,3.626,4.032,4.394,7.563,6.524,-0.083,0.977,-0.247,0.580,-1.251,0.336,60.000,84453.000,1.000
-2.968,-3.792,-1.294,2.853,2.567,1.603,6.348,5.842,-0.083,0.977,-0.247,0.488,-1.221,0.275,60.000,84454.000,1.000
-3.594,-6.649,-3.515,0.405,0.369,-1.996,3.216,3.747,-0.080,0.975,-0.245,0.366,-1.251,0.275,60.000,84455.000,1.000
-4.202,-8.663,-5.628,-2.662,-1.686,-5.013,-0.547,1.095,-0.078,0.973,-0.246,0.488,-1.099,0.366,60.000,84456.000,1.000
-3.824,-9.326,-6.408,-4.426,-3.080,-6.864,-3.488,-1.364,-0.079,0.972,-0.247,0.397,-0.885,0.275,60.000,84457.000,1.000
-2.447,-9.065,-5.765,-4.197,-3.783,-7.629,-4.974,-3.128,-0.079,0.973,-0.249,0.549,-0.854,0.336,60.000,84458.000,1.000
-0.974,-8.586,-4.653,-3.158,-3.952,-7.515,-5.374,-3.917,-0.080,0.972,-0.247,0.671,-0.824,0.305,60.000,84459.000,1.000
-0.174,-8.225,-3.944,-2.754,-3.700,-6.704,-5.411,-3.722,-0.080,0.971,-0.249,0.702,-0.824,0.397,60.000,84460.000,1.000
-0.050,-8.010,-3.742,-3.016,-3.207,-5.608,-5.460,-2.981,-0.081,0.972,-0.248,0.824,-0.793,0.244,60.000,84461.000,1.000
-0.374,-8.163,-3.899,-3.019,-2.980,-4.964,-5.581,-2.548,-0.078,0.974,-0.250,0.793,-0.549,0.336,60.000,84462.000,1.000
-1.359,-9.049,-4.720,-2.622,-3.647,-5.391,-5.954,-3.164,-0.079,0.975,-0.249,0.977,-0.488,0.397,60.000,84463.000,1.000
-3.236,-10.462,-6.515,-2.803,-5.223,-6.697,-6.730,-4.741,-0.079,0.976,-0.247,1.038,-0.397,0.427,60.000,84464.000,1.000
-5.340,-11.329,-8.599,-4.096,-6.762,-7.830,-7.459,-6.289,-0.079,0.978,-0.246,1.068,-0.458,0.427,60.000,84465.000,1.000
-6.239,-10.550,-9.404,-5.469,-7.104,-7.799,-7.207,-6.755,-0.082,0.978,-0.247,0.916,-0.397,0.397,60.000,84466.000,1.000
-5.025,-8.108,-7.914,-5.339,-5.947,-6.584,-5.540,-5.903,-0.081,0.978,-0.247,0.916,-0.244,0.275,60.000,84467.000,1.000
-2.206,-5.076,-4.727,-3.469,-3.989,-4.943,-3.144,-4.299,-0.083,0.976,-0.246,0.916,-0.275,0.397,60.000,84468.000,1.000
0.800,-2.546,-1.482,-1.283,-2.123,-3.498,-1.285,-2.629,-0.083,0.975,-0.245,0.916,-0.275,0.305,60.000,84469.000,1.000
2.846,-0.877,0.576,-0.238,-0.823,-2.376,-0.794,-1.300,-0.081,0.974,-0.246,1.007,-0.244,0.275,60.000,84470.000,1.000
3.660,0.049,1.369,-0.300,-0.237,-1.634,-1.592,-0.571,-0.079,0.975,-0.247,0.946,-0.092,0.427,60.000,84471.000,1.000
3.564,0.336,1.548,-0.272,-0.365,-1.402,-2.908,-0.551,-0.077,0.976,-0.249,1.068,0.000,0.336,60.000,84472.000,1.000
2.933,0.140,1.669,0.577,-0.901,-1.460,-3.836,-0.913,-0.079,0.974,-0.249,1.129,0.031,0.366,60.000,84473.000,1.000
2.074,-0.068,1.904,1.727,-1.145,-1.094,-3.802,-0.867,-0.079,0.973,-0.249,1.251,0.092,0.427,60.000,84474.000,1.000
1.416,0.292,2.316,2.343,-0.415,0.341,-2.659,0.289,-0.081,0.974,-0.249,1.129,0.031,0.488,60.000,84475.000,1.000
