EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.092,6.111,7.867,6.131,7.316,7.617,7.115,8.298,-0.091,0.989,-0.184,0.488,0.000,0.854,60.000,10137.000,1.000
6.200,7.071,7.760,5.247,8.614,7.787,6.994,8.543,-0.092,0.989,-0.185,0.641,0.122,0.885,60.000,10138.000,1.000
6.402,8.978,7.736,4.028,11.135,8.515,7.364,9.222,-0.094,0.988,-0.188,0.702,0.214,0.824,60.000,10139.000,1.000
6.923,11.720,8.195,3.487,14.602,9.945,8.631,10.358,-0.096,0.988,-0.192,0.824,0.092,0.916,60.000,10140.000,1.000
7.703,14.540,9.236,4.697,18.123,11.745,10.836,11.756,-0.095,0.987,-0.190,0.854,0.031,0.854,60.000,10141.000,1.000
7.790,16.138,9.935,7.124,20.423,13.131,13.100,12.875,-0.096,0.986,-0.189,0.946,-0.153,0.763,60.000,10142.000,1.000
6.078,15.700,9.016,8.701,20.728,13.586,14.170,13.237,-0.098,0.985,-0.188,1.038,-0.214,0.641,60.000,10143.000,1.000
2.674,13.731,6.347,7.942,19.455,13.329,13.604,12.927,-0.098,0.988,-0.190,1.068,-0.305,0.610,60.000,10144.000,1.000
-0.940,11.533,3.339,5.586,17.769,12.822,12.189,12.476,-0.097,0.988,-0.190,1.221,-0.305,0.519,60.000,10145.000,1.000
-3.190,9.955,1.694,3.787,16.542,12.047,11.073,12.283,-0.096,0.990,-0.191,1.190,-0.366,0.397,60.000,10146.000,1.000
-3.828,8.710,1.675,3.594,15.641,10.331,10.344,12.069,-0.097,0.990,-0.188,1.190,-0.427,0.366,60.000,10147.000,1.000
-3.906,7.009,1.927,3.767,14.291,7.095,8.890,11.069,-0.096,0.992,-0.185,1.221,-0.549,0.214,60.000,10148.000,1.000
-4.227,4.867,1.268,2.619,12.192,2.916,6.026,8.970,-0.096,0.997,-0.185,1.129,-0.580,0.122,60.000,10149.000,1.000
-4.248,3.348,0.167,0.439,9.930,-0.670,2.585,6.331,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10150.000,1.000
-2.744,3.474,0.141,-0.624,8.334,-2.526,0.155,4.063,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10151.000,0.000
0.707,5.223,2.062,1.140,7.764,-2.703,-0.327,2.784,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10152.000,0.000
5.079,7.550,5.262,5.250,7.908,-2.099,0.748,2.479,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10153.000,0.000
8.712,9.248,8.203,9.569,8.142,-1.620,2.150,2.675,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10154.000,0.000
10.634,9.809,9.837,12.263,8.088,-1.583,2.942,2.936,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10155.000,0.000
10.952,9.477,10.149,12.974,7.778,-1.816,2.996,3.099,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10156.000,0.000
10.270,8.701,9.632,12.306,7.334,-2.120,2.558,3.098,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10157.000,0.000
9.153,7.800,8.707,10.900,6.782,-2.435,1.796,2.859,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10158.000,0.000
8.106,7.039,7.751,9.307,6.183,-2.671,0.900,2.442,-0.095,0.996,-0.183,0.977,-0.641,0.000,60.000,10159.000,0.000
