EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
26.805,23.901,19.118,16.356,11.337,11.533,8.218,5.815,-0.081,0.989,-0.151,0.488,0.336,1.068,60.000,36473.000,1.000
28.043,24.448,18.202,16.416,9.935,10.444,7.587,3.919,-0.083,0.989,-0.152,0.671,0.427,1.068,60.000,36474.000,1.000
25.537,23.362,15.446,13.662,8.395,9.638,6.557,2.586,-0.083,0.987,-0.149,0.854,0.397,1.068,60.000,36475.000,1.000
20.823,21.786,12.332,9.973,7.328,9.497,5.838,2.039,-0.082,0.988,-0.152,0.946,0.397,1.007,60.000,36476.000,1.000
15.552,20.357,9.976,7.146,6.700,9.584,5.484,1.873,-0.082,0.990,-0.153,1.129,0.397,1.038,60.000,36477.000,1.000
10.511,18.944,8.323,5.299,6.028,9.124,4.767,1.412,-0.082,0.990,-0.154,1.251,0.336,1.007,60.000,36478.000,1.000
6.010,17.300,6.756,3.349,5.038,7.801,3.012,0.273,-0.085,0.991,-0.154,1.404,0.458,0.793,60.000,36479.000,1.000
2.702,15.626,5.255,0.837,4.039,6.075,0.635,-1.262,-0.084,0.993,-0.154,1.465,0.458,0.793,60.000,36480.000,1.000
1.405,14.257,4.522,-1.289,3.488,4.626,-1.024,-2.507,-0.085,0.994,-0.151,1.587,0.427,0.885,60.000,36481.000,1.000
1.998,12.924,4.839,-2.004,3.193,3.492,-1.276,-3.172,-0.086,0.995,-0.152,1.678,0.366,0.824,60.000,36482.000,1.000
3.043,10.804,5.230,-1.813,2.301,1.995,-1.104,-3.693,-0.085,0.995,-0.155,1.709,0.305,0.763,60.000,36483.000,1.000
2.997,7.518,4.294,-2.269,0.266,-0.339,-2.104,-4.575,-0.082,0.996,-0.156,1.648,0.214,0.671,60.000,36484.000,1.000
1.664,3.851,1.839,-3.873,-2.366,-3.000,-4.509,-5.641,-0.086,0.999,-0.152,1.740,0.153,0.702,60.000,36485.000,1.000
0.223,1.181,-0.699,-5.153,-4.332,-4.829,-6.761,-6.154,-0.087,1.000,-0.151,1.770,0.183,0.702,60.000,36486.000,1.000
-0.038,0.312,-1.635,-4.293,-4.689,-4.983,-7.129,-5.576,-0.083,1.002,-0.153,1.801,0.153,0.702,60.000,36487.000,1.000
1.192,1.052,-0.575,-1.285,-3.373,-3.368,-5.334,-3.982,-0.085,1.004,-0.157,1.740,0.031,0.580,60.000,36488.000,1.000
3.369,2.789,1.663,2.158,-0.935,-0.436,-2.467,-1.824,-0.087,1.004,-0.159,1.495,0.000,0.549,60.000,36489.000,1.000
5.966,5.079,4.318,4.773,1.962,3.060,0.287,0.440,-0.089,1.003,-0.156,1.587,-0.061,0.519,60.000,36490.000,1.000
8.813,7.637,7.285,7.031,4.741,6.249,2.527,2.467,-0.087,1.003,-0.157,1.465,-0.183,0.641,60.000,36491.000,1.000
11.598,10.056,10.419,9.895,6.906,8.487,4.422,4.028,-0.087,1.002,-0.155,1.404,-0.214,0.580,60.000,36492.000,1.000
13.497,11.761,12.732,12.907,8.053,9.579,5.983,4.999,-0.087,1.000,-0.156,1.343,-0.214,0.610,60.000,36493.000,1.000
13.626,12.230,12.790,14.304,7.908,9.531,6.717,5.251,-0.085,0.999,-0.155,1.221,-0.244,0.549,60.000,36494.000,1.000
11.853,11.239,9.999,12.989,6.353,8.190,5.980,4.526,-0.083,0.999,-0.159,1.190,-0.305,0.641,60.000,36495.000,1.000
8.956,8.945,5.272,9.774,3.514,5.406,3.640,2.588,-0.082,1.000,-0.160,1.129,-0.336,0.793,60.000,36496.000,1.000
5.890,5.814,0.228,6.350,-0.157,1.522,0.276,-0.410,-0.083,1.004,-0.160,1.068,-0.275,0.854,60.000,36497.000,1.000
3.032,2.502,-4.054,3.466,-3.947,-2.474,-3.290,-3.790,-0.087,1.006,-0.159,1.068,-0.366,0.824,60.000,36498.000,1.000
0.308,-0.278,-7.331,0.722,-7.058,-5.386,-6.393,-6.629,-0.088,1.005,-0.160,1.068,-0.397,0.885,60.000,36499.000,1.000
-2.226,-1.985,-9.564,-2.070,-8.913,-6.569,-8.459,-8.222,-0.086,1.003,-0.163,1.007,-0.427,0.946,60.000,36500.000,1.000
-4.335,-2.601,-10.645,-4.213,-9.502,-6.359,-9.056,-8.496,-0.084,0.999,-0.161,0.977,-0.549,0.916,60.000,36501.000,1.000
-6.035,-2.701,-10.809,-5.114,-9.400,-5.680,-8.366,-8.071,-0.085,0.996,-0.160,0.946,-0.458,0.916,60.000,36502.000,1.000
-7.546,-2.848,-10.733,-5.323,-9.201,-5.171,-7.285,-7.733,-0.085,0.992,-0.159,0.916,-0.458,0.946,60.000,36503.000,1.000
-8.653,-2.905,-10.783,-5.938,-8.903,-4.766,-6.630,-7.715,-0.085,0.989,-0.160,0.916,-0.458,0.977,60.000,36504.000,1.000
-8.440,-2.180,-10.368,-7.086,-8.017,-4.099,-6.388,-7.614,-0.086,0.989,-0.159,0.885,-0.549,0.885,60.000,36505.000,1.000
-5.974,-0.293,-8.441,-7.550,-6.300,-3.116,-6.016,-7.041,-0.086,0.990,-0.158,1.068,-0.641,0.854,60.000,36506.000,1.000
-1.314,2.317,-4.725,-6.177,-4.125,-2.095,-5.201,-6.010,-0.087,0.992,-0.158,1.251,-0.641,0.702,60.000,36507.000,1.000
4.261,4.785,-0.294,-3.380,-2.071,-1.161,-4.115,-4.690,-0.088,0.993,-0.160,1.251,-0.763,0.580,60.000,36508.000,1.000
9.127,6.554,3.181,-0.828,-0.465,-0.144,-3.168,-3.191,-0.088,0.998,-0.160,1.251,-0.824,0.366,60.000,36509.000,1.000
12.385,7.594,4.746,0.345,0.625,1.008,-2.587,-1.695,-0.088,1.001,-0.158,1.282,-0.977,0.366,60.000,36510.000,1.000
14.045,8.079,4.691,0.595,1.234,2.024,-2.104,-0.450,-0.087,1.005,-0.159,1.190,-1.007,0.275,60.000,36511.000,1.000
14.432,8.091,3.851,1.042,1.455,2.659,-1.244,0.405,-0.086,1.005,-0.159,1.068,-1.038,0.214,60.000,36512.000,1.000
13.734,7.608,2.628,1.824,1.375,2.939,-0.048,0.821,-0.085,1.006,-0.159,0.916,-1.038,0.183,60.000,36513.000,1.000
12.188,6.730,0.969,2.011,1.081,3.011,0.822,0.758,-0.082,1.006,-0.162,0.854,-1.099,0.183,60.000,36514.000,1.000
10.488,5.888,-0.777,1.209,0.780,2.982,0.955,0.316,-0.080,1.005,-0.162,0.793,-1.007,0.122,60.000,36515.000,1.000
9.555,5.588,-1.646,0.473,0.708,2.827,0.709,-0.217,-0.081,1.004,-0.160,0.580,-0.946,0.244,60.000,36516.000,1.000
9.666,5.879,-1.046,1.056,0.806,2.255,0.526,-0.659,-0.083,1.004,-0.159,0.610,-0.885,0.336,60.000,36517.000,1.000
10.087,6.299,0.464,2.709,0.746,0.936,0.190,-1.083,-0.082,1.003,-0.161,0.641,-0.824,0.366,60.000,36518.000,1.000
9.875,6.518,1.789,3.977,0.449,-0.832,-0.694,-1.513,-0.081,1.000,-0.160,0.610,-0.763,0.366,60.000,36519.000,1.000
8.943,6.712,2.476,4.074,0.257,-2.160,-1.894,-1.778,-0.083,0.998,-0.161,0.580,-0.763,0.275,60.000,36520.000,1.000
8.060,7.128,2.936,3.825,0.413,-2.600,-2.779,-1.844,-0.084,0.997,-0.160,0.519,-0.793,0.336,60.000,36521.000,1.000
7.921,7.642,3.666,4.536,0.793,-2.484,-2.966,-1.854,-0.084,0.996,-0.155,0.519,-0.702,0.397,60.000,36522.000,1.000
8.517,7.992,4.622,6.356,1.304,-2.096,-2.433,-1.717,-0.085,0.995,-0.155,0.610,-0.641,0.519,60.000,36523.000,1.000
9.424,8.139,5.417,8.169,2.088,-1.308,-1.412,-1.083,-0.085,0.992,-0.154,0.488,-0.641,0.427,60.000,36524.000,1.000
10.443,8.195,5.958,9.065,3.152,-0.185,-0.378,0.088,-0.084,0.994,-0.157,0.458,-0.580,0.488,60.000,36525.000,1.000
11.734,8.188,6.636,9.458,4.119,0.719,0.114,1.276,-0.086,0.993,-0.158,0.519,-0.641,0.641,60.000,36526.000,1.000
13.366,8.004,7.716,10.305,4.481,0.838,-0.299,1.839,-0.087,0.993,-0.159,0.488,-0.549,0.671,60.000,36527.000,1.000
14.910,7.525,8.699,11.526,4.010,0.135,-1.675,1.567,-0.087,0.992,-0.158,0.519,-0.580,0.702,60.000,36528.000,1.000
15.790,6.875,8.757,11.984,3.006,-0.784,-3.609,0.833,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36529.000,1.000
16.061,6.499,7.824,11.118,2.185,-1.064,-5.160,0.293,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36530.000,0.000
16.445,6.804,6.827,9.827,2.130,-0.299,-5.360,0.367,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36531.000,0.000
17.515,7.719,6.739,9.493,2.814,1.123,-4.003,0.959,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36532.000,0.000
19.121,8.743,7.701,10.592,3.705,2.446,-1.816,1.624,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36533.000,0.000
20.600,9.390,9.092,12.429,4.269,3.188,0.137,1.984,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36534.000,0.000
21.382,9.503,10.182,13.946,4.335,3.326,1.200,1.986,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36535.000,0.000
21.353,9.200,10.641,14.594,4.019,3.044,1.351,1.790,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36536.000,0.000
20.753,8.662,10.513,14.442,3.494,2.538,0.918,1.532,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36537.000,0.000
19.897,8.067,9.998,13.770,2.910,2.034,0.264,1.276,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36538.000,0.000
19.042,7.574,9.336,12.848,2.426,1.736,-0.309,1.098,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36539.000,0.000
18.370,7.263,8.773,11.985,2.130,1.669,-0.604,1.051,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36540.000,0.000
17.943,7.075,8.449,11.436,1.963,1.681,-0.618,1.080,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36541.000,0.000
17.668,6.897,8.310,11.194,1.801,1.648,-0.513,1.082,-0.088,0.991,-0.157,0.702,-0.549,0.824,60.000,36542.000,0.000
